timestamp, index, power.draw [W]
2026/09/08 05:37:03.014, 0, 126.02 W
2026/09/08 05:37:03.118, 0, 126.02 W
2026/09/08 05:37:03.218, 0, 119.13 W
2026/09/08 05:37:03.318, 0, 119.13 W
2026/09/08 05:37:03.504, 0, 119.13 W
2026/09/08 05:37:03.604, 0, 119.13 W
2026/09/08 05:37:03.704, 0, 119.13 W
2026/09/08 05:37:03.804, 0, 119.85 W
2026/09/08 05:37:03.905, 0, 119.85 W
2026/09/08 05:37:04.005, 0, 119.85 W
2026/09/08 05:37:04.105, 0, 119.85 W
2026/09/08 05:37:04.205, 0, 119.85 W
2026/09/08 05:37:04.305, 0, 119.71 W
2026/09/08 05:37:04.405, 0, 119.71 W
2026/09/08 05:37:04.505, 0, 119.71 W
2026/09/08 05:37:04.605, 0, 119.71 W
2026/09/08 05:37:04.706, 0, 119.71 W
2026/09/08 05:37:04.806, 0, 119.71 W
2026/09/08 05:37:04.906, 0, 119.71 W
2026/09/08 05:37:05.006, 0, 119.71 W
2026/09/08 05:37:05.106, 0, 119.71 W
2026/09/08 05:37:05.206, 0, 119.71 W
2026/09/08 05:37:05.306, 0, 105.35 W
2026/09/08 05:37:05.406, 0, 105.35 W
2026/09/08 05:37:05.506, 0, 105.35 W
2026/09/08 05:37:05.607, 0, 105.35 W
2026/09/08 05:37:05.707, 0, 105.35 W
2026/09/08 05:37:05.807, 0, 105.35 W
2026/09/08 05:37:05.907, 0, 105.35 W
2026/09/08 05:37:06.007, 0, 105.35 W
2026/09/08 05:37:06.107, 0, 105.35 W
2026/09/08 05:37:06.207, 0, 71.39 W
2026/09/08 05:37:06.307, 0, 71.39 W
2026/09/08 05:37:06.407, 0, 71.39 W
2026/09/08 05:37:06.507, 0, 71.39 W
2026/09/08 05:37:06.608, 0, 71.39 W
2026/09/08 05:37:06.708, 0, 71.39 W
2026/09/08 05:37:06.808, 0, 71.39 W
2026/09/08 05:37:06.908, 0, 71.39 W
2026/09/08 05:37:07.008, 0, 71.39 W
2026/09/08 05:37:07.108, 0, 71.39 W
2026/09/08 05:37:07.208, 0, 33.60 W
2026/09/08 05:37:07.308, 0, 33.60 W
2026/09/08 05:37:07.409, 0, 33.60 W
2026/09/08 05:37:07.509, 0, 33.60 W
2026/09/08 05:37:07.609, 0, 33.60 W
2026/09/08 05:37:07.709, 0, 33.60 W
2026/09/08 05:37:07.809, 0, 33.60 W
2026/09/08 05:37:07.909, 0, 33.60 W
2026/09/08 05:37:08.009, 0, 33.60 W
2026/09/08 05:37:08.109, 0, 33.60 W
2026/09/08 05:37:08.210, 0, 27.49 W
